"code","coords.x1","coords.x2"
"E01012007",-1.24060602544874,54.5459013274465
"E01012085",-1.2002630008408,54.5506767778272
"E01012005",-1.24493131412077,54.6984295374424
"E01012084",-1.19627872150532,54.5529399602455
"E01012002",-1.23095783406781,54.6919069119797
"E01012083",-1.2058030296516,54.5553919256423
"E01012003",-1.24611583103433,54.6915717412054
"E01012082",-1.19400308631501,54.5476257341234
"E01012000",-1.20289850777493,54.6833199592768
"E01012081",-1.24336056275041,54.559104592007
"E01012001",-1.21033564321305,54.6735105532161
"E01012080",-1.23334045526767,54.5610094357828
"E01012008",-1.23869800644318,54.5496472903497
"E01012089",-1.1784471755524,54.5646094369027
"E01012009",-1.25325248299153,54.548645148402
"E01012088",-1.19276967759675,54.5615931029826
"E01012366",-1.47883726688298,54.5551213234853
"E01012364",-1.56570569071881,54.5327600287004
"E01012365",-1.57262682939514,54.5339959819655
"E01012362",-1.55846915120561,54.5356051285177
"E01012363",-1.56560869622405,54.5354510728024
"E01012360",-1.56785860631374,54.519598179294
"E01012361",-1.57310076204752,54.5151736772048
"E01008356",-1.63531896448141,55.0056189835532
"E01008357",-1.61793378298299,55.0196881433451
"E01008354",-1.61124570248499,55.008367225545
"E01008355",-1.61992934915671,55.0084291503006
"E01008352",-1.62830718990242,55.0147955091374
"E01008353",-1.63357829810708,55.0107389427711
"E01008350",-1.67785542197499,54.9900983281905
"E01008351",-1.61053945742058,55.0128671423838
"E01008358",-1.62037078816076,55.0152430579506
"E01008359",-1.57708389527359,54.9849751515845
"E01012256",-1.30536141706282,54.6149270965272
"E01012257",-1.30338512256638,54.6122269522033
"E01012254",-1.32136989430523,54.5691419549062
"E01012255",-1.30825867511979,54.6101327877102
"E01012252",-1.31959034975111,54.5754955373839
"E01012253",-1.33137562778843,54.5724262596618
"E01012250",-1.35150793573894,54.5883327621634
"E01012251",-1.32289398569881,54.573449293014
"E01012258",-1.29879544098973,54.5824823563369
"E01012259",-1.30550178148099,54.5833016981866
"E01008206",-1.64092409226867,54.944276107117
"E01008287",-1.53297189431531,54.9504995227259
"E01008207",-1.64601265446687,54.9435010391782
"E01008286",-1.52788473295744,54.9482686182894
"E01008204",-1.5877616261584,54.949205952271
"E01008285",-1.54911440007935,54.9343003138981
"E01008205",-1.59420111185208,54.9472091481043
"E01008284",-1.53272690737289,54.9409740843723
"E01008202",-1.5789824368028,54.9471093320107
"E01008283",-1.52544287487132,54.9447017727025
"E01008203",-1.59468548638897,54.9506463930414
"E01008282",-1.54339522791569,54.9378967155775
"E01008200",-1.79266766403016,54.9634808896736
"E01008281",-1.53692557959551,54.9431692885072
"E01008201",-1.585289354201,54.9437783361121
"E01008280",-1.72029847987008,54.9543017282984
"E01008208",-1.64781852254284,54.9486573778601
"E01008289",-1.66703679678281,54.9752469734657
"E01008209",-1.64416153835884,54.9553767007541
"E01008288",-1.67687145108675,54.9761474671281
"E01008567",-1.5017829595023,55.0373755431851
"E01008564",-1.49024708940147,55.0434883220076
"E01008565",-1.52430118322195,55.0426924353764
"E01008562",-1.43025951864862,55.0247457166493
"E01008563",-1.43297084575496,55.0214894148182
"E01008560",-1.42286794966516,55.0194188658801
"E01008561",-1.43616721437029,55.0117022096479
"E01008568",-1.49995212663944,55.0335681857301
"E01008569",-1.50585683874386,55.0316468032485
"E01011976",-1.2217733538379,54.6883901611771
"E01011977",-1.24555332197704,54.6592861269166
"E01011974",-1.20737153152102,54.6893357893545
"E01011975",-1.22643534069758,54.6882522837838
"E01011973",-1.21687196887207,54.6885088849533
"E01011970",-1.25243699400291,54.7156827639454
"E01011971",-1.25121850483598,54.711467235792
"E01011978",-1.23815755322362,54.6609731778346
"E01011979",-1.23928451632862,54.6641782011785
"E01008456",-1.68566696596984,55.0016537088013
"E01008457",-1.68396189673733,55.0033208240362
"E01008455",-1.64780079837253,54.9778721929863
"E01008452",-1.64966583417,54.9863720449017
"E01008453",-1.64837802635763,54.9818134757803
"E01008450",-1.6558475197508,54.9857826247497
"E01008451",-1.66271073045018,54.9877722297466
"E01008458",-1.68850010655163,55.0179936859193
"E01008459",-1.68472212090551,55.0082184067594
"E01020766",-1.3196176509961,54.7632651022019
"E01020767",-1.31152780149147,54.761898388486
"E01020764",-1.31617539430032,54.7640294184043
"E01020765",-1.32367032653027,54.7721476686457
"E01020762",-1.38813320410505,54.7573701622351
"E01020763",-1.41553928382127,54.7817378572508
"E01020760",-1.39250207028653,54.7628173569658
"E01020761",-1.3821076176155,54.7602970824057
"E01020768",-1.30495987214194,54.7590981398295
"E01020769",-1.35527679988774,54.7540500131916
"E01008706",-1.40092494190401,54.9056768833486
"E01008787",-1.37585180717358,54.9181452819467
"E01008707",-1.3997202744638,54.9031864356954
"E01008786",-1.37345343239512,54.9238502173201
"E01008704",-1.40601306056432,54.9056863646827
"E01008785",-1.39621364259283,54.88736610477
"E01008705",-1.39475955404955,54.9060760278191
"E01008784",-1.38417610729587,54.8876038589988
"E01008702",-1.36837174286265,54.9078957787105
"E01008783",-1.39069089065581,54.8903396763726
"E01008703",-1.37525027985144,54.9081187332164
"E01008782",-1.40262912554146,54.8884668234075
"E01008700",-1.39790181142992,54.9086696360479
"E01008781",-1.39613718787134,54.8934565696219
"E01008701",-1.41097196228223,54.908068052983
"E01008780",-1.37763796481464,54.8835315938577
"E01008708",-1.38732342279758,54.9206060556592
"E01008789",-1.36603364942703,54.9192295116487
"E01008709",-1.39280332736768,54.9195049205919
"E01008788",-1.37752369623696,54.9216888980834
"E01020656",-1.83791688239769,54.8902568310431
"E01020657",-1.82691849355024,54.8776088395698
"E01020654",-1.74663730970665,54.8841204031535
"E01020655",-1.81371391307364,54.9008587382503
"E01020652",-1.8193334953003,54.8467012473047
"E01020653",-1.76119283989348,54.8754809122272
"E01020650",-1.81723997825678,54.8426695195377
"E01020651",-1.81143629880135,54.8401991846764
"E01020658",-1.66657849790184,54.7983501648988
"E01020659",-1.67375416280654,54.7979179151143
"E01008667",-1.43605601754563,54.9956588391126
"E01008664",-1.43199249757902,54.9865044769826
"E01008665",-1.43817882108355,54.9824466743325
"E01008662",-1.4834264934761,54.9651785859042
"E01008663",-1.48383775567807,54.9693980430754
"E01008660",-1.49130100017543,54.9771431030033
"E01008661",-1.48460588079376,54.9770639518822
"E01008668",-1.42614660845615,54.9892060985458
"E01008669",-1.45025753791513,54.967482346833
"E01027376",-2.0089546127928,55.7828918895668
"E01027377",-2.00212976105609,55.7701076098923
"E01027374",-1.82381399846412,55.5957728951781
"E01027372",-1.61461141161028,55.3409409872727
"E01027373",-1.99141114379054,55.3599791789782
"E01027370",-1.72066297009054,55.3113933576237
"E01027371",-1.68700779539151,55.3716067323614
"E01027378",-2.01356561749745,55.778501278543
"E01027379",-2.02375833415515,55.7554738940054
"E01027516",-1.5943568236999,55.1355918212838
"E01027517",-1.57308992150087,55.1396848731358
"E01027514",-1.59439835111163,55.1283192372942
"E01027515",-1.58685484953089,55.1302176977197
"E01027512",-2.49211581227752,54.9182257173122
"E01027513",-1.81849007577911,54.9774026432332
"E01027510",-2.18372837441642,55.0048173037073
"E01027511",-2.22000828968168,55.0880389142698
"E01027518",-1.57264545103495,55.1350376487987
"E01027519",-1.58046594542824,55.1321669528042
"E01027476",-2.1082322852913,54.9872475434151
"E01027477",-2.27151449404493,54.8706197512285
"E01027474",-1.61423948516601,55.2382937587744
"E01027475",-1.61165822817321,55.2396995059881
"E01027472",-1.87902777703651,55.0391929644434
"E01027473",-1.68016596426812,55.1143345390832
"E01027471",-1.77481261196126,55.0358768944961
"E01027478",-2.25289824484205,54.8970222240711
"E01027479",-2.24495814112975,55.1447532153998
"E01008836",-1.37379723177461,54.9029356626174
"E01008837",-1.44530786302171,54.9303957960585
"E01008834",-1.38273251766183,54.8986080934387
"E01008835",-1.39342466759411,54.8981439845887
"E01008832",-1.40072743464229,54.9000440090625
"E01008833",-1.40449976593174,54.8987068296887
"E01008830",-1.39708686190324,54.8994048901418
"E01008831",-1.38821361679619,54.9011937384656
"E01008838",-1.45165145373537,54.929605656242
"E01008839",-1.43557581973948,54.9274088429521
"E01012137",-0.887023973226169,54.5510394538737
"E01012134",-0.852683943384088,54.5525844179787
"E01012132",-0.958108885147286,54.5363645761249
"E01012130",-1.06285802850723,54.5945982618914
"E01012131",-1.06983290974573,54.5994598416947
